Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Financial crime 1197,98,Fraud Act 2006,Dishonestly obtains financial advantage 1197,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example1197 [2012] EWCA Crim 1197,Economic offence 1197,Financial Crime
Terrorism offence 1198,99,Terrorism Act 2000,Engages in terrorist-related activity 1198,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example1198 [2007] EWCA Crim 1198,National security threat 1198,Terrorism
Environmental crime 1199,100,Environmental Protection Act 1990,Causes environmental damage 1199,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example1199 [1996] Env LR 1199,Environmental damage 1199,Environmental
Corporate offence 1200,1,Companies Act 2006,Fails to comply with corporate duties 1200,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example1200 [1989] 1 WLR 1200,Corporate compliance 1200,Corporate Crime
Theft variation 1201,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1201,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example1201 [1982] QB 1201,Specific theft circumstances 1201,Theft
Assault variation 1202,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1202,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example1202 [1976] 1 WLR 1202,Specific assault type 1202,Assault
Drug offence variation 1203,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1203,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example1203 [1986] 82 Cr App R 1203,Drug-related conduct 1203,Drugs
Traffic offence variation 1204,5,Road Traffic Act 1988,Contravenes road traffic regulations 1204,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example1204 [1987] RTR 1204,Road traffic violation 1204,Traffic
Public order offence 1205,6,Public Order Act 1986,Disrupts public order in specific manner 1205,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example1205 [1987] QB 1205,Public disorder 1205,Public Order
Cybercrime offence 1206,7,Computer Misuse Act 1990,Unlawfully uses computer systems 1206,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example1206 [2000] 2 AC 1206,Digital crime 1206,Cybercrime
Financial crime 1207,8,Fraud Act 2006,Dishonestly obtains financial advantage 1207,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example1207 [2012] EWCA Crim 1207,Economic offence 1207,Financial Crime
Terrorism offence 1208,9,Terrorism Act 2000,Engages in terrorist-related activity 1208,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example1208 [2007] EWCA Crim 1208,National security threat 1208,Terrorism
Environmental crime 1209,10,Environmental Protection Act 1990,Causes environmental damage 1209,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example1209 [1996] Env LR 1209,Environmental damage 1209,Environmental
Corporate offence 1210,11,Companies Act 2006,Fails to comply with corporate duties 1210,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example1210 [1989] 1 WLR 1210,Corporate compliance 1210,Corporate Crime
Theft variation 1211,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1211,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example1211 [1982] QB 1211,Specific theft circumstances 1211,Theft
Assault variation 1212,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1212,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example1212 [1976] 1 WLR 1212,Specific assault type 1212,Assault
Drug offence variation 1213,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1213,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example1213 [1986] 82 Cr App R 1213,Drug-related conduct 1213,Drugs
Traffic offence variation 1214,15,Road Traffic Act 1988,Contravenes road traffic regulations 1214,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example1214 [1987] RTR 1214,Road traffic violation 1214,Traffic
Public order offence 1215,16,Public Order Act 1986,Disrupts public order in specific manner 1215,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example1215 [1987] QB 1215,Public disorder 1215,Public Order
Cybercrime offence 1216,17,Computer Misuse Act 1990,Unlawfully uses computer systems 1216,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example1216 [2000] 2 AC 1216,Digital crime 1216,Cybercrime
Financial crime 1217,18,Fraud Act 2006,Dishonestly obtains financial advantage 1217,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example1217 [2012] EWCA Crim 1217,Economic offence 1217,Financial Crime
Terrorism offence 1218,19,Terrorism Act 2000,Engages in terrorist-related activity 1218,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example1218 [2007] EWCA Crim 1218,National security threat 1218,Terrorism
Environmental crime 1219,20,Environmental Protection Act 1990,Causes environmental damage 1219,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example1219 [1996] Env LR 1219,Environmental damage 1219,Environmental
Corporate offence 1220,21,Companies Act 2006,Fails to comply with corporate duties 1220,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example1220 [1989] 1 WLR 1220,Corporate compliance 1220,Corporate Crime
Theft variation 1221,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1221,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example1221 [1982] QB 1221,Specific theft circumstances 1221,Theft
Assault variation 1222,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1222,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example1222 [1976] 1 WLR 1222,Specific assault type 1222,Assault
Drug offence variation 1223,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1223,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example1223 [1986] 82 Cr App R 1223,Drug-related conduct 1223,Drugs
Traffic offence variation 1224,25,Road Traffic Act 1988,Contravenes road traffic regulations 1224,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example1224 [1987] RTR 1224,Road traffic violation 1224,Traffic
Public order offence 1225,26,Public Order Act 1986,Disrupts public order in specific manner 1225,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example1225 [1987] QB 1225,Public disorder 1225,Public Order
Cybercrime offence 1226,27,Computer Misuse Act 1990,Unlawfully uses computer systems 1226,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example1226 [2000] 2 AC 1226,Digital crime 1226,Cybercrime
Financial crime 1227,28,Fraud Act 2006,Dishonestly obtains financial advantage 1227,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example1227 [2012] EWCA Crim 1227,Economic offence 1227,Financial Crime
Terrorism offence 1228,29,Terrorism Act 2000,Engages in terrorist-related activity 1228,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example1228 [2007] EWCA Crim 1228,National security threat 1228,Terrorism
Environmental crime 1229,30,Environmental Protection Act 1990,Causes environmental damage 1229,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example1229 [1996] Env LR 1229,Environmental damage 1229,Environmental
Corporate offence 1230,31,Companies Act 2006,Fails to comply with corporate duties 1230,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example1230 [1989] 1 WLR 1230,Corporate compliance 1230,Corporate Crime
Theft variation 1231,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1231,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example1231 [1982] QB 1231,Specific theft circumstances 1231,Theft
Assault variation 1232,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1232,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example1232 [1976] 1 WLR 1232,Specific assault type 1232,Assault
Drug offence variation 1233,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1233,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example1233 [1986] 82 Cr App R 1233,Drug-related conduct 1233,Drugs
Traffic offence variation 1234,35,Road Traffic Act 1988,Contravenes road traffic regulations 1234,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example1234 [1987] RTR 1234,Road traffic violation 1234,Traffic
Public order offence 1235,36,Public Order Act 1986,Disrupts public order in specific manner 1235,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example1235 [1987] QB 1235,Public disorder 1235,Public Order
Cybercrime offence 1236,37,Computer Misuse Act 1990,Unlawfully uses computer systems 1236,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example1236 [2000] 2 AC 1236,Digital crime 1236,Cybercrime
Financial crime 1237,38,Fraud Act 2006,Dishonestly obtains financial advantage 1237,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example1237 [2012] EWCA Crim 1237,Economic offence 1237,Financial Crime
Terrorism offence 1238,39,Terrorism Act 2000,Engages in terrorist-related activity 1238,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example1238 [2007] EWCA Crim 1238,National security threat 1238,Terrorism
Environmental crime 1239,40,Environmental Protection Act 1990,Causes environmental damage 1239,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example1239 [1996] Env LR 1239,Environmental damage 1239,Environmental
Corporate offence 1240,41,Companies Act 2006,Fails to comply with corporate duties 1240,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example1240 [1989] 1 WLR 1240,Corporate compliance 1240,Corporate Crime
Theft variation 1241,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1241,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example1241 [1982] QB 1241,Specific theft circumstances 1241,Theft
Assault variation 1242,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1242,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example1242 [1976] 1 WLR 1242,Specific assault type 1242,Assault
Drug offence variation 1243,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1243,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example1243 [1986] 82 Cr App R 1243,Drug-related conduct 1243,Drugs
Traffic offence variation 1244,45,Road Traffic Act 1988,Contravenes road traffic regulations 1244,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example1244 [1987] RTR 1244,Road traffic violation 1244,Traffic
Public order offence 1245,46,Public Order Act 1986,Disrupts public order in specific manner 1245,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example1245 [1987] QB 1245,Public disorder 1245,Public Order
Cybercrime offence 1246,47,Computer Misuse Act 1990,Unlawfully uses computer systems 1246,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example1246 [2000] 2 AC 1246,Digital crime 1246,Cybercrime
Financial crime 1247,48,Fraud Act 2006,Dishonestly obtains financial advantage 1247,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example1247 [2012] EWCA Crim 1247,Economic offence 1247,Financial Crime
Terrorism offence 1248,49,Terrorism Act 2000,Engages in terrorist-related activity 1248,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example1248 [2007] EWCA Crim 1248,National security threat 1248,Terrorism
Environmental crime 1249,50,Environmental Protection Act 1990,Causes environmental damage 1249,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example1249 [1996] Env LR 1249,Environmental damage 1249,Environmental
Corporate offence 1250,51,Companies Act 2006,Fails to comply with corporate duties 1250,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example1250 [1989] 1 WLR 1250,Corporate compliance 1250,Corporate Crime
Theft variation 1251,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1251,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example1251 [1982] QB 1251,Specific theft circumstances 1251,Theft
Assault variation 1252,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1252,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example1252 [1976] 1 WLR 1252,Specific assault type 1252,Assault
Drug offence variation 1253,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1253,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example1253 [1986] 82 Cr App R 1253,Drug-related conduct 1253,Drugs
Traffic offence variation 1254,55,Road Traffic Act 1988,Contravenes road traffic regulations 1254,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972055,6 months imprisonment,Police,R v Example1254 [1987] RTR 1254,Road traffic violation 1254,Traffic
Public order offence 1255,56,Public Order Act 1986,Disrupts public order in specific manner 1255,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973056,6 months imprisonment,Police,R v Example1255 [1987] QB 1255,Public disorder 1255,Public Order
Cybercrime offence 1256,57,Computer Misuse Act 1990,Unlawfully uses computer systems 1256,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974057,10 years imprisonment,CPS,R v Example1256 [2000] 2 AC 1256,Digital crime 1256,Cybercrime
Financial crime 1257,58,Fraud Act 2006,Dishonestly obtains financial advantage 1257,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975058,10 years imprisonment,CPS,R v Example1257 [2012] EWCA Crim 1257,Economic offence 1257,Financial Crime
Terrorism offence 1258,59,Terrorism Act 2000,Engages in terrorist-related activity 1258,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976059,14 years imprisonment,CPS,R v Example1258 [2007] EWCA Crim 1258,National security threat 1258,Terrorism
Environmental crime 1259,60,Environmental Protection Act 1990,Causes environmental damage 1259,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977060,5 years imprisonment,Environment Agency,R v Example1259 [1996] Env LR 1259,Environmental damage 1259,Environmental
Corporate offence 1260,61,Companies Act 2006,Fails to comply with corporate duties 1260,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978061,2 years imprisonment,CPS,R v Example1260 [1989] 1 WLR 1260,Corporate compliance 1260,Corporate Crime
Theft variation 1261,62,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1261,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979062,7 years imprisonment,CPS,R v Example1261 [1982] QB 1261,Specific theft circumstances 1261,Theft
Assault variation 1262,63,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1262,"1. Assault, 2. Unlawfully, 3. Another person",AS1980063,5 years imprisonment,CPS,R v Example1262 [1976] 1 WLR 1262,Specific assault type 1262,Assault
Drug offence variation 1263,64,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1263,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981064,14 years imprisonment,CPS,R v Example1263 [1986] 82 Cr App R 1263,Drug-related conduct 1263,Drugs
Traffic offence variation 1264,65,Road Traffic Act 1988,Contravenes road traffic regulations 1264,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982065,6 months imprisonment,Police,R v Example1264 [1987] RTR 1264,Road traffic violation 1264,Traffic
Public order offence 1265,66,Public Order Act 1986,Disrupts public order in specific manner 1265,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983066,6 months imprisonment,Police,R v Example1265 [1987] QB 1265,Public disorder 1265,Public Order
Cybercrime offence 1266,67,Computer Misuse Act 1990,Unlawfully uses computer systems 1266,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984067,10 years imprisonment,CPS,R v Example1266 [2000] 2 AC 1266,Digital crime 1266,Cybercrime
Financial crime 1267,68,Fraud Act 2006,Dishonestly obtains financial advantage 1267,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985068,10 years imprisonment,CPS,R v Example1267 [2012] EWCA Crim 1267,Economic offence 1267,Financial Crime
Terrorism offence 1268,69,Terrorism Act 2000,Engages in terrorist-related activity 1268,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986069,14 years imprisonment,CPS,R v Example1268 [2007] EWCA Crim 1268,National security threat 1268,Terrorism
Environmental crime 1269,70,Environmental Protection Act 1990,Causes environmental damage 1269,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987070,5 years imprisonment,Environment Agency,R v Example1269 [1996] Env LR 1269,Environmental damage 1269,Environmental
Corporate offence 1270,71,Companies Act 2006,Fails to comply with corporate duties 1270,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988071,2 years imprisonment,CPS,R v Example1270 [1989] 1 WLR 1270,Corporate compliance 1270,Corporate Crime
Theft variation 1271,72,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1271,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989072,7 years imprisonment,CPS,R v Example1271 [1982] QB 1271,Specific theft circumstances 1271,Theft
Assault variation 1272,73,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1272,"1. Assault, 2. Unlawfully, 3. Another person",AS1990073,5 years imprisonment,CPS,R v Example1272 [1976] 1 WLR 1272,Specific assault type 1272,Assault
Drug offence variation 1273,74,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1273,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991074,14 years imprisonment,CPS,R v Example1273 [1986] 82 Cr App R 1273,Drug-related conduct 1273,Drugs
Traffic offence variation 1274,75,Road Traffic Act 1988,Contravenes road traffic regulations 1274,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992075,6 months imprisonment,Police,R v Example1274 [1987] RTR 1274,Road traffic violation 1274,Traffic
Public order offence 1275,76,Public Order Act 1986,Disrupts public order in specific manner 1275,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993076,6 months imprisonment,Police,R v Example1275 [1987] QB 1275,Public disorder 1275,Public Order
Cybercrime offence 1276,77,Computer Misuse Act 1990,Unlawfully uses computer systems 1276,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994077,10 years imprisonment,CPS,R v Example1276 [2000] 2 AC 1276,Digital crime 1276,Cybercrime
Financial crime 1277,78,Fraud Act 2006,Dishonestly obtains financial advantage 1277,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995078,10 years imprisonment,CPS,R v Example1277 [2012] EWCA Crim 1277,Economic offence 1277,Financial Crime
Terrorism offence 1278,79,Terrorism Act 2000,Engages in terrorist-related activity 1278,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996079,14 years imprisonment,CPS,R v Example1278 [2007] EWCA Crim 1278,National security threat 1278,Terrorism
Environmental crime 1279,80,Environmental Protection Act 1990,Causes environmental damage 1279,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997080,5 years imprisonment,Environment Agency,R v Example1279 [1996] Env LR 1279,Environmental damage 1279,Environmental
Corporate offence 1280,81,Companies Act 2006,Fails to comply with corporate duties 1280,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998081,2 years imprisonment,CPS,R v Example1280 [1989] 1 WLR 1280,Corporate compliance 1280,Corporate Crime
Theft variation 1281,82,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1281,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999082,7 years imprisonment,CPS,R v Example1281 [1982] QB 1281,Specific theft circumstances 1281,Theft
Assault variation 1282,83,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1282,"1. Assault, 2. Unlawfully, 3. Another person",AS2000083,5 years imprisonment,CPS,R v Example1282 [1976] 1 WLR 1282,Specific assault type 1282,Assault
Drug offence variation 1283,84,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1283,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001084,14 years imprisonment,CPS,R v Example1283 [1986] 82 Cr App R 1283,Drug-related conduct 1283,Drugs
Traffic offence variation 1284,85,Road Traffic Act 1988,Contravenes road traffic regulations 1284,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002085,6 months imprisonment,Police,R v Example1284 [1987] RTR 1284,Road traffic violation 1284,Traffic
Public order offence 1285,86,Public Order Act 1986,Disrupts public order in specific manner 1285,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003086,6 months imprisonment,Police,R v Example1285 [1987] QB 1285,Public disorder 1285,Public Order
Cybercrime offence 1286,87,Computer Misuse Act 1990,Unlawfully uses computer systems 1286,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004087,10 years imprisonment,CPS,R v Example1286 [2000] 2 AC 1286,Digital crime 1286,Cybercrime
Financial crime 1287,88,Fraud Act 2006,Dishonestly obtains financial advantage 1287,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005088,10 years imprisonment,CPS,R v Example1287 [2012] EWCA Crim 1287,Economic offence 1287,Financial Crime
Terrorism offence 1288,89,Terrorism Act 2000,Engages in terrorist-related activity 1288,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006089,14 years imprisonment,CPS,R v Example1288 [2007] EWCA Crim 1288,National security threat 1288,Terrorism
Environmental crime 1289,90,Environmental Protection Act 1990,Causes environmental damage 1289,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007090,5 years imprisonment,Environment Agency,R v Example1289 [1996] Env LR 1289,Environmental damage 1289,Environmental
Corporate offence 1290,91,Companies Act 2006,Fails to comply with corporate duties 1290,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008091,2 years imprisonment,CPS,R v Example1290 [1989] 1 WLR 1290,Corporate compliance 1290,Corporate Crime
Theft variation 1291,92,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1291,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009092,7 years imprisonment,CPS,R v Example1291 [1982] QB 1291,Specific theft circumstances 1291,Theft
Assault variation 1292,93,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1292,"1. Assault, 2. Unlawfully, 3. Another person",AS2010093,5 years imprisonment,CPS,R v Example1292 [1976] 1 WLR 1292,Specific assault type 1292,Assault
Drug offence variation 1293,94,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1293,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011094,14 years imprisonment,CPS,R v Example1293 [1986] 82 Cr App R 1293,Drug-related conduct 1293,Drugs
Traffic offence variation 1294,95,Road Traffic Act 1988,Contravenes road traffic regulations 1294,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012095,6 months imprisonment,Police,R v Example1294 [1987] RTR 1294,Road traffic violation 1294,Traffic
Public order offence 1295,96,Public Order Act 1986,Disrupts public order in specific manner 1295,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013096,6 months imprisonment,Police,R v Example1295 [1987] QB 1295,Public disorder 1295,Public Order
Cybercrime offence 1296,97,Computer Misuse Act 1990,Unlawfully uses computer systems 1296,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014097,10 years imprisonment,CPS,R v Example1296 [2000] 2 AC 1296,Digital crime 1296,Cybercrime
Financial crime 1297,98,Fraud Act 2006,Dishonestly obtains financial advantage 1297,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example1297 [2012] EWCA Crim 1297,Economic offence 1297,Financial Crime
Terrorism offence 1298,99,Terrorism Act 2000,Engages in terrorist-related activity 1298,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example1298 [2007] EWCA Crim 1298,National security threat 1298,Terrorism
Environmental crime 1299,100,Environmental Protection Act 1990,Causes environmental damage 1299,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example1299 [1996] Env LR 1299,Environmental damage 1299,Environmental
Corporate offence 1300,1,Companies Act 2006,Fails to comply with corporate duties 1300,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example1300 [1989] 1 WLR 1300,Corporate compliance 1300,Corporate Crime
Theft variation 1301,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 1301,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example1301 [1982] QB 1301,Specific theft circumstances 1301,Theft
Assault variation 1302,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 1302,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example1302 [1976] 1 WLR 1302,Specific assault type 1302,Assault
Drug offence variation 1303,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 1303,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example1303 [1986] 82 Cr App R 1303,Drug-related conduct 1303,Drugs
Traffic offence variation 1304,5,Road Traffic Act 1988,Contravenes road traffic regulations 1304,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example1304 [1987] RTR 1304,Road traffic violation 1304,Traffic
Public order offence 1305,6,Public Order Act 1986,Disrupts public order in specific manner 1305,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example1305 [1987] QB 1305,Public disorder 1305,Public Order
Cybercrime offence 1306,7,Computer Misuse Act 1990,Unlawfully uses computer systems 1306,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example1306 [2000] 2 AC 1306,Digital crime 1306,Cybercrime
Financial crime 1307,8,Fraud Act 2006,Dishonestly obtains financial advantage 1307,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example1307 [2012] EWCA Crim 1307,Economic offence 1307,Financial Crime
Terrorism offence 1308,9,Terrorism Act 2000,Engages in terrorist-related activity 1308,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example1308 [2007] EWCA Crim 1308,National security threat 1308,Terrorism
